constructor_id,constructor,decade,first_year,last_year,seasons,races,drivers_any_entrant,drivers_works,drivers_pool,cars,wins,podiums,playable,wheel_weight
ferrari,Ferrari,1950s,1950,1959,10,71,47,28,21,10,29,111,1,high
maserati,Maserati,1950s,1950,1959,7,43,75,33,17,7,9,37,1,high
mclaren,McLaren,1970s,1970,1979,10,143,26,19,16,10,20,63,1,high
minardi,Minardi,1990s,1990,1999,10,162,20,20,16,10,0,0,1,high
ligier,Ligier,1980s,1980,1989,10,153,15,15,15,10,4,27,1,high
surtees,Surtees,1970s,1970,1978,9,119,30,26,15,9,0,2,1,high
lotus,Lotus,1960s,1960,1969,10,97,71,25,14,10,31,55,1,high
tyrrell,Tyrrell,1980s,1980,1989,10,153,18,18,14,10,2,4,1,high
brm,BRM,1970s,1970,1977,8,88,23,23,14,8,4,8,1,high
march,March,1970s,1970,1978,8,112,35,19,14,8,2,11,1,high
minardi,Minardi,2000s,2000,2005,6,104,15,15,14,6,0,0,1,high
benetton,Benetton,1990s,1990,1999,10,162,13,13,13,10,25,83,1,high
brabham,Brabham,1970s,1970,1979,10,144,29,16,13,10,8,35,1,high
ferrari,Ferrari,1960s,1960,1969,10,89,21,21,13,10,12,55,1,high
brabham,Brabham,1980s,1980,1989,9,139,14,14,13,9,15,38,1,high
jordan,Jordan,1990s,1991,1999,9,146,19,19,13,9,3,15,1,high
gordini,Gordini,1950s,1952,1956,5,33,23,22,13,5,0,2,1,high
shadow,Shadow,1970s,1973,1979,7,105,16,15,12,7,1,7,1,high
arrows,Arrows,1980s,1980,1989,10,155,14,14,11,10,0,6,1,high
brm,BRM,1960s,1960,1969,10,97,29,15,11,10,12,49,1,high
cooper,Cooper,1960s,1960,1969,10,88,69,22,11,10,9,35,1,high
osella,Osella,1980s,1980,1989,10,156,15,15,11,10,0,0,1,high
williams,Williams,1990s,1990,1999,10,162,11,11,11,10,61,136,1,high
sauber,Sauber,2010s,2010,2018,9,177,12,12,11,9,0,4,1,high
tyrrell,Tyrrell,1990s,1990,1998,9,146,12,12,11,9,0,4,1,high
sauber,Sauber,1990s,1993,1999,7,114,11,11,11,7,0,4,1,high
jordan,Jordan,2000s,2000,2005,6,104,13,13,11,6,1,4,1,high
lotus,Lotus,1970s,1970,1979,10,142,25,17,10,10,35,71,1,high
toro-rosso,Toro Rosso,2010s,2010,2019,10,198,10,10,10,10,0,2,1,high
williams,Williams,2000s,2000,2009,10,174,10,10,10,10,10,48,1,high
williams,Williams,2010s,2010,2019,10,198,11,11,10,10,1,16,1,high
ligier,Ligier,1990s,1990,1996,7,113,12,12,10,7,1,8,1,high
ferrari,Ferrari,1970s,1970,1979,10,141,10,10,9,10,37,96,1,high
ferrari,Ferrari,1980s,1980,1989,10,156,10,10,9,10,18,72,1,high
ferrari,Ferrari,1990s,1990,1999,10,162,10,10,9,10,28,107,1,high
williams,Williams,1980s,1980,1989,10,155,14,13,9,10,37,100,1,high
footwork,Footwork,1990s,1991,1996,6,97,11,11,9,6,0,1,1,high
renault,Renault,2010s,2010,2019,6,121,9,9,9,6,0,5,1,high
mclaren,McLaren,2000s,2000,2009,10,174,9,9,8,10,41,131,1,high
mclaren,McLaren,2010s,2010,2019,10,198,8,8,8,10,18,50,1,high
tyrrell,Tyrrell,1970s,1970,1979,10,134,18,13,8,10,21,69,1,high
renault,Renault,2000s,2002,2009,8,140,8,8,8,8,20,54,1,high
